"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 26 14:31:03 GMT 2025","Tue Aug 26 14:31:03 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Tue Aug 26 14:30:59 GMT 2025","Tue Aug 26 14:31:01 GMT 2025","2342","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Aug 26 14:30:52 GMT 2025","Tue Aug 26 14:30:54 GMT 2025","1720","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 14:31:03 GMT 2025","Tue Aug 26 14:31:03 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Tue Aug 26 14:30:56 GMT 2025","Tue Aug 26 14:30:57 GMT 2025","1492","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 14:30:54 GMT 2025","Tue Aug 26 14:30:56 GMT 2025","1679","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 14:31:03 GMT 2025","Tue Aug 26 14:31:03 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Tue Aug 26 14:31:02 GMT 2025","Tue Aug 26 14:31:03 GMT 2025","1440","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 26 14:31:01 GMT 2025","Tue Aug 26 14:31:04 GMT 2025","2750","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Aug 26 14:30:58 GMT 2025","Tue Aug 26 14:30:59 GMT 2025","1585","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Aug 26 14:30:56 GMT 2025","Tue Aug 26 14:30:58 GMT 2025","1307","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 26 14:31:03 GMT 2025","Tue Aug 26 14:31:03 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Tue Aug 26 14:31:03 GMT 2025","Tue Aug 26 14:31:03 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Tue Aug 26 14:31:03 GMT 2025","Tue Aug 26 14:31:03 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Tue Aug 26 14:31:04 GMT 2025","Tue Aug 26 14:31:06 GMT 2025","1519","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 26 14:30:52 GMT 2025","Tue Aug 26 14:30:55 GMT 2025","3139","LMS system","Authentication","Authorization","","","User login with correct email and password",""
